Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
139	ETOILE : A Feasibility Study in Pediatric Patient Education	Recruiting	No Results Available	Leukemia, Lymphoblastic	Behavioral: ETOILE therapeutic education	Robert Debre Hospital, Paris, France	https://ClinicalTrials.gov/show/NCT04399863
140	Iomab-ACT: A Pilot Study of 131-I Apamistamab Followed by CD19-Targeted CAR T-Cell Therapy for Patients With Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia or Diffuse Large B-Cell Lymphoma	Recruiting	No Results Available	B-ALL|DLBCL|B ALL|Dlbcl-Ci|DLBCL Unclassifiable|DLBCL, Nos Genetic Subtypes|DLBCL Activated B-Cell Type|DLBCL Germinal Center B-Cell Type|Diffuse Large B-cell Lymphoma|HGBL|HGBL, Nos	Drug: 131-I Apamistamab|Biological: CAR T-cell	Memorial Sloan Kettering Cancer Center, New York, New York, United States	https://ClinicalTrials.gov/show/NCT04512716
141	Acute Lymphoblastic Leukemia Treatment Protocol Moscow-Berlin 2019 Pilot	Recruiting	No Results Available	Childhood Acute Lymphoblastic Leukemia	Drug: Blinatumomab	Dmitry Rogachev National Medical Research Centre of Pediatric Hematology, Oncology and Immunology, Moscow, Russian Federation|National Medical Research Center of Oncology named after N.N. Blokhin, Moscow, Russian Federation|Russian Children's Clinic Hospital; Pirogov Russian National Research Medical University, Moscow, Russian Federation|Almazov National Medical Research Centre, Saint Petersburg, Russian Federation	https://ClinicalTrials.gov/show/NCT04723342
142	The Individualized Treatment of 6-mercaptopurine in Children With Acute Lymphoblastic Leukemia in China	Not yet recruiting	No Results Available	Acute Lymphoblastic Leukemia, Pediatric	Drug: 6-mercaptopurine|Procedure: Standard treatment|Procedure: Individualized treatment	State Key Laboratory of Experimental Haematology, Department of Paediatric Haematology, Institute of Haematology and Blood Diseases Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Tanjin, Tianjin, China	https://ClinicalTrials.gov/show/NCT04228393
143	Pharmacokinetic and Safety Study of MRX-2843 in Adolescents and Adults With Relapsed/Refractory AML, ALL, or MPAL	Not yet recruiting	No Results Available	Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Mixed Phenotype Acute Leukemia	Drug: MRX-2843		https://ClinicalTrials.gov/show/NCT04872478
144	Administration of Autologous CAR-T CD19 Antigen With Inducible Safety Switch in Patients With Relapsed/Refractory ALL	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Immune System Diseases|Immunoproliferative Disorders	Biological: iC9-CAR19 cells|Drug: Rimiducid|Drug: Cyclophosphamide|Drug: Fludarabine	Lineberger Comprehensive Cancer Center at University of North Carolina - Chapel Hill, Chapel Hill, North Carolina, United States	https://ClinicalTrials.gov/show/NCT03016377
145	TT52CAR19 Therapy for B-cell Acute Lymphoblastic Leukaemia (B-ALL)	Recruiting	No Results Available	B Acute Lymphoblastic Leukemia	Drug: PBLTT52CAR19	Great Ormond Street Hospital, London, United Kingdom	https://ClinicalTrials.gov/show/NCT04557436
146	Protocol For the Treatment Acute Lymphoblastic Leukemia With Ph 'Negative in Elderly Patients (> 55 Years)	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: Dexamethasona, Idarubicine, ARA-C, Methotrexate	Hospital Germans Trias i Pujol and all Hospital Pethema, Badalona, Barcelona, Spain	https://ClinicalTrials.gov/show/NCT01366898
147	A French Protocol for the Treatment of Acute Lymphoblastic Leukemia (ALL) in Children and Adolescents	Recruiting	No Results Available	Acute Lymphoblastic Leukemia	Drug: pegaspargase 1250 IU/m2 x 2|Drug: pegaspargase 2500 IU/m2 x 1	CHU, Amiens, France|CHU, Angers, France|CHRU, Besançon, France|CHU, Bordeaux, France|CHU, Brest, France|CHU, Caen, France|CHU, Clermont-Ferrand, France|CHU, Dijon, France|CHU, Grenoble, France|CHU, Lille, France|CHU, Limoges, France|Chu-Ihope, Lyon, France|CHU, Marseille, France|CHU, Montpellier, France|CHU, Nancy, France|CHU, Nantes, France|CHU, Nice, France|CHU Saint Louis, Paris, France|CHU Armand Trousseau, Paris, France|CHU Robert Debré, Paris, France|CHU, Poitiers, France|CHU, Reims, France|CHU, Rennes, France|CHU, Rouen, France|CHU, Saint Etienne, France|CHU, Strasbourg, France|CHU, Toulouse, France|CHu, Tours, France	https://ClinicalTrials.gov/show/NCT02716233
148	CCCG Relapsed Acute Lymphoblastic Leukemia 2017 Study in Children	Recruiting	No Results Available	Acute Lymphoblastic Leukemia, in Relapse	Drug: Bortezomib Injection|Drug: rituximab injection	Hong Kong Children's Hospital, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT04224571
149	CAR-T for Children With Relapsed and Refractory Acute Lymphoblastic Leukemia	Recruiting	No Results Available	Childhood Acute Lymphoblastic Leukemia	Drug: CD19 CAR-T|Drug: CD22 CAR-T|Drug: CD 19+22|Drug: Fludarabine|Drug: Cyclophosphamide	No.2 Hospital of Hebei Medical University, Shijiazhuang, Hebei, China	https://ClinicalTrials.gov/show/NCT04626765
150	Sequential Treatment With Ponatinib and Blinatumomab vs Chemotherapy and Imatinib in Newly Diagnosed Adult Ph+ ALL	Not yet recruiting	No Results Available	Acute Lymphoblastic Leukemia (Philadelphia Chromosome Positive)|ALL, Adult|Philadelphia-Positive ALL	Drug: Ponatinib + Blinatumomab|Drug: Chemotherapy + Imatinib		https://ClinicalTrials.gov/show/NCT04722848
151	A Study of CTA30X Cell Injection in Patients With Relapsed or Refractory CD19-positive B-line Hematological Malignancies	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non-hodgkin Lymphoma	Drug: CTA30X	The First Affiliated Hospital，College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04689204
152	Total Therapy XVII for Newly Diagnosed Patients With Acute Lymphoblastic Leukemia and Lymphoma	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Acute Lymphoblastic Lymphoma	Drug: Prednisone|Drug: Vincristine|Drug: Daunorubicin|Drug: Pegaspargase|Drug: Erwinase®|Drug: Cyclophosphamide|Drug: Cytarabine|Drug: Mercaptopurine|Drug: Dasatinib|Drug: Methotrexate|Drug: Blinatumomab|Drug: Ruxolitinib|Drug: Bortezomib|Drug: Dexamethasone|Drug: Doxorubicin|Drug: Etoposide|Drug: Clofarabine|Drug: Vorinostat|Drug: Idarubicin|Drug: Nelarabine|Drug: Thioguanine	Lucile Packard Children's Hospital Stanford University, Palo Alto, California, United States|Rady Children's Hospital San Diego, San Diego, California, United States|Children's Hospital of Michigan, Detroit, Michigan, United States|St. Jude Affiliate Clinic - Novant Health Hemby Children's Hospital, Charlotte, North Carolina, United States|St. Jude Children's Research Hospital, Memphis, Tennessee, United States|Cook Children's Medical Center, Fort Worth, Texas, United States	https://ClinicalTrials.gov/show/NCT03117751
153	Targeting CD19 and CD22 CAR-T Cells Immunotherapy in Patients With Relapsed or Refractory Acute B Lymphocytic Leukemia	Recruiting	No Results Available	Acute Lymphocytic Leukemia， B-Cell	Biological: CD19-CD22 CAR-T cells	Hematology Department of ShanXi Cancer Hospital, Taiyuan, Shanxi, China	https://ClinicalTrials.gov/show/NCT04714593
154	Treatment of Acute Lymphoblastic Leukemia Ph '(BCR / ABL) Positive Patients Aged > 55 Years	Recruiting	No Results Available	Acute Lymphoblastic Leukemia Ph Positive	Drug: Dexamethasone|Drug: Methotrexate|Drug: Vincristine	Hospital Germans Trias i Pujol and all Hospital Pethema, Badalona, Barcelona, Spain	https://ClinicalTrials.gov/show/NCT01376427
155	A Study of CTA101 UCAR-T Cell Injection in Patients With Relapsed or Refractory CD19+ B-line Hematological Malignancy	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non-hodgkin Lymphoma	Drug: CTA101	The First Hospital of Zhejiang Medical Colleage Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04227015
156	A Study of CT-RD06 Cell Injection in Patients With Relapsed or Refractory CD19+ B-cell Hematological Malignancy	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non-Hodgkin's Lymphoma	Biological: CT-RD06	The First Hospital of Zhejiang Medical Colleage Zhejiang University, Hangzhou, Zhejiang, China	https://ClinicalTrials.gov/show/NCT04226989
157	CLIC-1901 for the Treatment of Patients With Relapsed/Refractory CD19 Positive Hematologic Malignancies	Recruiting	No Results Available	Acute Lymphoblastic Leukemia|Non-Hodgkin's Lymphoma	Biological: CLIC-1901	Vancouver General Hospital, Vancouver, British Columbia, Canada|The Ottawa Hospital - General Campus, Ottawa, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03765177
158	Allogeneic Donor Lymphocyte Infusions Combined With Blinatumomab	Recruiting	No Results Available	B Cell Precursor Acute Lymphoblastic Leukemia With Mixed Chimerism or Minimal Residual Disease After Allogeneic Stem Cell Transplantation|B-Cell Acute Lymphoblastic Leukemia|Acute Lymphoblastic Leukemia|Acute Lymphoblastic Leukemia in Remission|Acute Lymphoblastic Leukemia, Adult	Drug: Blinatumomab in combination with donor lymphocyte infusion	Klinikum der Universität München, Munich, Germany	https://ClinicalTrials.gov/show/NCT03982992
